question,true,basic,rag
What were the structures built by the Soviets typical of?,an Eastern Bloc city,Eastern Bloc city,Eastern Bloc city
What building was a gift from the Soviet Union?,Palace of Culture and Science,Palace of Culture and Science,Palace of Culture and Science
What list was Warsaw's Old Town inscribed onto in 1980?,UNESCO's World Heritage list,World Heritage list,In 1980
What pope as a native of Poland?,John Paul II,John Paul II,John Paul
What did John Paul II's visits in 1979 and 1983 encourage?,growing anti-communist fervor,anti - communist fervor,anti - communist fervor
How long had John Paul II been the pope in 1979?,less than a year,less than a year,less than a year
Where did John Paul II celebrate Mass in Warsaw?,Victory Square,Victory Square,Victory Square
What did the Polish citizens understand the subtext of John Paul II's words to be?,incentive for the democratic changes,the incentive for the democratic changes,the incentive for the democratic changes
How many kilometers is Warsaw from the Carpathian Mountains?,about 300,300,300
How many miles east of Berlin is Warsaw?,325,325,325
What river does Warsaw straddle?,Vistula River,Vistula River,Vistula
How high is the highest point in Warsaw?,452.8 ft,115. 7 metres,
Where is the lowest point of Warsaw located?,at the right bank of the Vistula,right bank of the Vistula,the left side of the city
How many geomorphologic formations is Warsaw on?,two,two,two
What formation has an asymmetrical pattern of different terraces?,Vistula Valley,Vistula Valley,Vistula Valley
Which plateau is the left part of Warsaw on?,moraine,moraine plateau,moraine plateau
What is the axis of Warsaw which divides it into two parts?,Vistula River,The Vistula River,left and right
What is the edge of the moraine plateau called?,Warsaw Escarpment,Warsaw Escarpment,Warsaw Escarpment
What plateau has groups of clay pits?,moraine,plain moraine,plain moraine
What does the highest level of the Vistula plateau contain?,former flooded terraces,former flooded terraces,
What does the currently flooded terrace still have visible?,valleys,valleys and ground depressions,valleys and ground depressions
Where can Aeolian sand with a number of dunes be found?,plain Vistula terraces,the highest terrace,plain Vistula terraces
What type of forested areas can be found on the highest terrace?,pine,pine forest,pine forest
What does Warsaw's mixture of architectural styles reflect?,turbulent history of the city,the turbulent history of the city and country,the turbulent history of the city and country
When was Warsaw completely razed to the ground by bombing raids?,During the Second World War,During the Second World War,During the Second World War
When did Warsaw start to rebuild?,After liberation,After liberation,During the Second World War
What building from the 19th century was destroyed between the 1950s and 1960s?,Leopold Kronenberg Palace,Leopold Kronenberg Palace,some of the buildings from the 19th century
What style were the mass constructed residential blocks designed in?,typical of Eastern bloc countries,basic design typical of Eastern bloc countries,basic design ty
What type of architecture is represented in the majestic churches?,Gothic,Gothic,Gothic
When was St. John's Cathedral constructed?,14th century,14th century,14th century
"What is St. John's Cathedral an example of, stylistically?",Masovian gothic,Masovian gothic style,
The house of the Baryczko merchant family is a notable example of what type of architecture?,Renaissance,Renaissance,Renaissance
What is the Royal Castle the most interesting example of?,mannerist architecture,mannerist architecture,mannerist architecture
When did building activity in the palaces and churches take place in the later decades of?,17th century,17th century,17th century
When did building activity occur on St. Kazimierz Church?,1688–1692,1688 – 1692,1692
What type of architecture is the Palace of Four Windows an impressive example of?,rococo,rococo,rococo
What is being described when simplicity of geometrical forms are teamed with inspiration from the Roman period?,neoclassical architecture,neoclassical architecture,neoclassical architecture
When was the Palace on the Water rebuilt?,1775–1795,1775 – 1795,1775 – 1795
The Kronenberg Palace had been an exceptional example of what type of architecture?,bourgeois,bourgeois,bourgeois
Why aren't the examples of bouregois architecture visible today?,not restored by the communist authorities,they were rebuilt in socialist realism style,communist authorities after the war
What style was the Warsaw Philharmony edifice built in?,socialist realism,socialist realism,socialist realism
What building is the most interesting of the late 19th-century architecture?,Warsaw University of Technology building,Warsaw University of Technology building,902
What were the Saxon Palace and Brühl Palace in prewar Warsaw?,the most distinctive buildings,the most distinctive buildings,the most distinctive buildings
What commemorates Warsaw's heroic history?,many places,Pawiak,Pawiak
What was the name of the infamous German Gestapo prison?,Pawiak,Pawiak,Pawiak
What fortification was built in the 19th century after the defeat of the November Uprising?,The Warsaw Citadel,The Warsaw Citadel,The Warsaw Citadel
Who does the statue of Little Insurgent commemorate?,children,the children who served as messengers and frontline troops in the Warsaw Uprising,the children who served as messengers and frontline troops in the Warsaw Uprising
What monument is in memory of the largest insurrection of WWII?,Warsaw Uprising Monument,Warsaw Uprising Monument,Warsaw Uprising Monument
What type of space in Warsaw are the Botanic Garden and University Library garden?,green,green spaces,green spaces
